,Acceptance,Asking price,Asking price per m²,Bathroom facilities,Building type,Energy label,Exterior space attached to the building,Facilities,Garden,Heating,Hot water,Insulation,Kind of house,Listed since,Living area,Location,Number of bath rooms,Number of rooms,Number of stories,Plot size,Specific,Status,Type of parking facilities,Type of roof,Volume in cubic meters,Year of construction,url,Annual meeting,Balcony/roof garden,Building insurance,CH boiler,External storage space,Located at,Maintenance plan,Periodic contribution,Provisional energy label,Registration with KvK,Reserve fund present,Shed / storage,Type apartment,VVE (Owners Association) contribution,Quality marks,Service charges,Type of garage,Other space inside the building,Garden location,Back garden
1703,Available immediately,315000,7683,Shower and toilet,Resale,E  ,4,"Passive ventilation system, flue and TV via cable",Back garden and front garden,CH boiler,CH boiler,Double glazing,,"March 9, 2022",41,Alongside a quiet road and in residential district,1 bathroom,1 ,1,,Renovation project,Available,"Paid parking, public parking and resident's parking permits",Gable roof covered with roof tiles,140,1921,https://www.funda.nl/en/koop/amsterdam/appartement-88088173-kraaipanstraat-22-b,Yes,,Yes,"Intergas (gas-fired combination boiler from 2018, in ownership)",,Grou ,Yes,Yes (€ 71.23 per month),,Yes,Yes,,Ground-floor apartment (apartment), 71.23  ,Energie Prestatie Advies,,,,Located at the northwest,"48 m² (8,3 meter deep and 5,8 meter broad)"
1704,Available in consultation,285000,4318,Shower,Resale,B  ,3,Electricity,Back garden,CH boiler,CH boiler,Double glazing,,2 ,66,Alongside a quiet road and in residential district,1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Sold under reservation,Public parking and resident's parking permits,Flat roof covered with asphalt roofing,232,1984,https://www.funda.nl/en/koop/amsterdam/appartement-88031931-dostojevskisingel-283,Yes,Balcony present,Yes,Gas-fired combination boiler,5,Grou ,Yes,Yes,,Yes,Yes,Storage box,Ground-floor apartment (apartment),,Energie Prestatie Advies, 162  ,,,Located at the northwest accessible via the rear,76 m² (7 meter deep and 10 meter broad)
1706,Available immediately,250000,6098,Shower and toilet,Resale,E  ,6,Electricity,,CH boiler,CH boiler,Double glazing,,"March 7, 2022",41,"Alongside a quiet road, sheltered location and in residential district",1 bathroom,"2  ,1 ",1,,Renovation project,Available,"Paid parking, public parking and resident's parking permits",Flat roof covered with asphalt roofing,134,1921,https://www.funda.nl/en/koop/amsterdam/appartement-88085294-schovenstraat-48,Yes,Balcony present,Yes,"Intergas (gas-fired combination boiler from 2016, in ownership)",5,2 ,Yes,Yes (€ 82.10 per month),,Yes,Yes,Storage box,Upstairs apartment (apartment), 82.10  ,Energie Prestatie Advies,,,1 ,,
1707,Available in consultation,900000,7627,Bath and toilet,Resale,F  ,7,Electricity and running water,,CH boiler,CH boiler,No insulation,,"March 8, 2022",118,Alongside a quiet road and in residential district,1 bathroom and 1 separate toilet,"6  ,4 ",2,,,Available,Paid parking and resident's parking permits,Flat roof covered with asphalt roofing,428,1914,https://www.funda.nl/en/koop/amsterdam/appartement-88085865-jacob-marisstraat-94-1,No,Balcony present and french balcony present,Yes,"Intergas (gas-fired combination boiler from 2011, to rent)",,1 ,No,No,,No,No,Built-in,Upstairs apartment (apartment),,,,,1 ,,
1708,Available in consultation,425000,8019,Bath and toilet,Resale,E  ,,,,CH boiler,CH boiler,Double glazing,,"March 7, 2022",53,Alongside a quiet road and in center,1 bathroom,"2  ,1 ",4,,,Available,Paid parking and resident's parking permits,Gable roof,175,1906,https://www.funda.nl/en/koop/amsterdam/appartement-42622809-goudsbloemstraat-107-a,No,,Yes,"Gas-fired combination boiler, in ownership",,1 ,No,Yes,,Yes,No,,Upstairs apartment (apartment),,, 90  ,,,,
1709,Available in consultation,1050000,9052,Bath and toilet,Resale,,7,,,CH boiler,CH boiler,"Double glazing, insulated walls and floor insulation",,3 ,116,In center and in residential district,2 bathrooms and 1 separate toilet,"3  ,2 ",5,,Monumental building,Available,Paid parking,Gable roof covered with roof tiles,397,1906,https://www.funda.nl/en/koop/amsterdam/appartement-88904650-elandsgracht-10-d,No,Balcony present,No,"Gas-fired combination boiler from 2003, in ownership",6,4 ,No,No,G ,No,No,Attached brick storage,Upstairs apartment (apartment),,, 221  ,,,,
1710,Available in consultation,1125000,9783,,Resale,D  ,,"Balanced ventilation system, mechanical ventilation and passive ventilation system",Back garden,Complete floor heating,CH boiler,Double glazing and floor insulation,,"March 7, 2022",115,"Alongside park, alongside a quiet road, sheltered location, In wooded surroundings and unobstructed surrounding view",1 separate toilet,"4  ,3 ",1,,,Available,Paid parking,Flat roof covered with asphalt roofing,465,,https://www.funda.nl/en/koop/amsterdam/appartement-88086359-biesboschstraat-21-h,Yes,,Yes,,24,Grou ,Yes,Yes (€ 184.00 per month),,Yes,Yes,Detached wooden storage,Ground-floor apartment (apartment), 184.00  ,Bouwkundige keuring,,,,Located at the southwest,"1 m² (0,9 meter deep and 1,4 meter broad)"
1711,Available in consultation,650000,8025,,Resale,C  ,5,Electricity,Back garden,CH boiler,CH boiler,Roof insulation and energy efficient window,,2 ,81,In residential district,1 bathroom and 1 separate toilet,"4  ,3 ",1,,,Under offer,Paid parking and resident's parking permits,Flat roof covered with asphalt roofing,268,1996,https://www.funda.nl/en/koop/amsterdam/appartement-88027175-plantage-middenlaan-4-b,Yes,French balcony present,Yes,"Intergas HRE (gas-fired from 2011, in ownership)",6,Grou ,Yes,Yes (€ 198.00 per month),,Yes,Yes,Storage box,Ground-floor apartment (apartment), 198.00  ,,,,,Located at the southwest,44 m² (11 meter deep and 4 meter broad)
1712,Available in consultation,650000,8553,Shower,Resale,,19,Electricity,,CH boiler,CH boiler,,,6 ,76,"Alongside a quiet road, in center and in residential district",1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Under offer,Paid parking,,287,1930,https://www.funda.nl/en/koop/amsterdam/appartement-42695977-roerstraat-77-i,Yes,Roof terrace present,Yes,"Remeha HR (gas-fired combination boiler from 2009, in ownership)",13,1 ,Yes,Yes (€ 166.00 per month),,Yes,Yes,Built-in,Upstairs apartment (apartment), 166.00  ,,,,,,
1713,Available in consultation,595000,7256,Bath,Resale,D  ,12,Mechanical ventilation and TV via cable,,CH boiler,CH boiler,"Roof insulation, double glazing and floor insulation",,6 ,82,,1 bathroom and 1 separate toilet,"3  ,2 ",2,,,Under offer,Paid parking and resident's parking permits,Flat roof covered with asphalt roofing,270,1922,https://www.funda.nl/en/koop/amsterdam/appartement-88047973-ruysdaelkade-267-b,Yes,Balcony present,Yes,"Intergas (gas-fired from 2008, in ownership)",,2 ,Yes,Yes (€ 185.48 per month),,Yes,Yes,,Upstairs apartment (apartment), 185.48  ,,,,,,
1714,Available in consultation,435000,9062,"Bath, shower and toilet",Resale,D  ,38,"Skylight, passive ventilation system and TV via cable",,CH boiler,CH boiler,Roof insulation and double glazing,,3 ,48,"Alongside a quiet road, in residential district and unobstructed surrounding view",1 bathroom,"2  ,1 ",2,,Protected townscape or village view (permit needed for alterations),Under offer,Paid parking and resident's parking permits,Combination roof covered with asphalt roofing,146,1913,https://www.funda.nl/en/koop/amsterdam/appartement-88071124-kanaalstraat-198-4,Yes,Roof terrace present and balcony present,Yes,"Intergas (gas-fired combination boiler, in ownership)",,5 ,Yes,Yes (€ 75.00 per month),,Yes,Yes,,Upstairs apartment (apartment), 75.00  ,, 75  ,,,,
1715,Available in consultation,425000,5822,,Resale,C  ,,,,CH boiler,CH boiler,,,7 ,73,In residential district,1 separate toilet,3 ,1,,Renovation project,Under offer,Resident's parking permits,,186,,https://www.funda.nl/en/koop/amsterdam/appartement-42686772-van-hallstraat-7-hs,Yes,,Yes,"Gas-fired, in ownership",,Grou ,Yes,Yes,,Yes,Yes,,Ground-floor apartment (apartment),,, 50  ,,,,
1716,Available in consultation,2650000,10905,Bath and 3 toilets,Resale,B  ,,"Electrical door, electricity and running water",Back garden and front garden,"CH boiler, fireplace and complete floor heating",CH boiler,"Roof insulation, double glazing, insulated walls and floor insulation","Villa, semi-detached residential property",2 ,243,"Alongside a quiet road, on navigable waterway, alongside water, in residential district and unobstructed surrounding view",3 bathrooms and 1 separate toilet,"6  ,5 ",2,348,,Available,"Paid parking, parking on private property, parking garage and resident's parking permits",Flat roof covered with asphalt roofing,881,1972,https://www.funda.nl/en/koop/amsterdam/huis-42619069-hodenpijlkade-48,,,,"Gas-fired combination boiler from 2020, in ownership",,,,,,,,,,,,,Built-in,15 ,Located at the east,"87 m² (7,5 meter deep and 11,6 meter broad)"
1717,Available in consultation,575000,8099,"Bath, shower and toilet",Resale,C  ,,Passive ventilation system and TV via cable,Back garden,CH boiler,CH boiler,,,"March 2, 2022",71,Alongside a quiet road,1 bathroom,"2  ,1 ",1,,,Available,Paid parking and resident's parking permits,Gable roof covered with roof tiles,249,1930,https://www.funda.nl/en/koop/amsterdam/appartement-42627955-hectorstraat-26-h,Yes,,Yes,"HR cv-ketel ( combination boiler from 2008, in ownership)",5,Grou ,Yes,Yes,,Yes,Yes,Detached brick storage,Ground-floor apartment (apartment),,, 94  ,,,Located at the west accessible via the rear,"35 m² (6,01 meter deep and 5,82 meter broad)"
1718,Available in consultation,295000,9219,Shower and toilet,Resale,E  ,,TV via cable,,CH boiler,CH boiler,Double glazing,,"March 11, 2022",32,Alongside a quiet road,1 bathroom,"2  ,1 ",1,,,Available,Resident's parking permits,Combination roof covered with asphalt roofing and other,103,1886,https://www.funda.nl/en/koop/amsterdam/appartement-88091981-eerste-sweelinckstraat-21-1-v,Yes,,Yes,"Gas-fired combination boiler from 2008, in ownership",,2 ,Yes,Yes (€ 54.04 per month),,Yes,Yes,,Upstairs apartment (apartment), 54.04  ,,,,,,
1720,Available in consultation,360000,9231,Toilet,Resale,,2,Mechanical ventilation,,CH boiler,CH boiler,Double glazing,,"March 10, 2022",39,In residential district,1 bathroom,"2  ,1 ",1,,,Available,,,97,1915,https://www.funda.nl/en/koop/amsterdam/appartement-42635765-van-hogendorpstraat-80-1,Yes,Balcony present,Yes,"Gas-fired combination boiler, in ownership",,,No,Yes (€ 71.00 per month),G ,Yes,Yes,,Upstairs apartment (apartment), 71.00  ,,,,,,
1721,Available in consultation,425000,7456,Toilet,Resale,D  ,6,Mechanical ventilation,,CH boiler,CH boiler,Double glazing,,"March 8, 2022",57,"Alongside a quiet road, alongside water and in residential district",1 bathroom,"3  ,2 ",1,,,Available,Public parking and resident's parking permits,,190,1940,https://www.funda.nl/en/koop/amsterdam/appartement-42621368-sanderijnstraat-3-h,Yes,Balcony present,Yes,"Remeha ( combination boiler from 2018, in ownership)",,1 ,No,Yes (€ 80.45 per month),,Yes,Yes,,Mezzanine, 80.45  ,,,,1 ,,
1722,Available in consultation,400000,5882,,Resale,B  ,,,,,,,,"March 7, 2022",68,,,"2  ,1 ",1,,,Available,,,221,1987,https://www.funda.nl/en/koop/amsterdam/appartement-42622080-soembawastraat-116,Yes,,Yes,,,,Yes,Yes (€ 161.00 per month),,Yes,Yes,,Apartment with shared street entrance, 161.00  ,,,,,,
1723,Available in consultation,775000,8516,Shower and toilet,Resale,B  ,36,TV via cable and solar panels,Sun terrace,CH boiler,CH boiler,"Roof insulation, double glazing and energy efficient window",,4 ,91,"Alongside park, alongside a quiet road and in residential district",1 bathroom and 1 separate toilet,"4  ,3 ",2,,,Sold under reservation,Paid parking,Flat roof covered with asphalt roofing,314,1940,https://www.funda.nl/en/koop/amsterdam/appartement-42605902-orteliuskade-46-3,Yes,Roof terrace present and balcony present,Yes,"Intergas (gas-fired combination boiler from 2020, in ownership)",,,Yes,No,,Yes,Yes,,Upstairs apartment (apartment),,, 72  ,,,Located at the east,
1724,Available in consultation,1900000,11875,,New,,15,Electricity,,Complete floor heating and heat recovery unit,,Completely insulated,,2 ,160,Alongside water and unobstructed surrounding view,1 separate toilet,"5  ,4 ",1,,,Under option,Paid parking and parking garage,,424,2020,https://www.funda.nl/en/koop/amsterdam/appartement-42611303-kaap-york-6268-bouwnr-68,,Balcony present,,,,2 ,,,A ,,,Storage box,Mezzanine (apartment),,SWK garantiecertificaat,,Underground parking,,,
1725,,487500,6094,Shower,New,A+++  ,6,,,District heating,,Completely insulated,,2 ,80,In center and in residential district,1 bathroom and 1 separate toilet,"3  ,2 ",12,,,Under option,Parking garage,,240,2022,https://www.funda.nl/en/koop/amsterdam/appartement-42665432-nieuwe-osdorpergracht-470-h,No,Balcony present,No,,,5 ,No,No,,No,No,,Upstairs apartment (apartment),,Woningborg garantiecertificaat, 120  ,Underground parking,,,
1726,Available in consultation,600000,5660,Bath,Resale,A  ,9,Elevator and TV via cable,,District heating,Central facility,Completely insulated,,6 ,106,Alongside a quiet road and in residential district,1 bathroom and 1 separate toilet,"4  ,3 ",1,,,Sold under reservation,Parking garage,Flat roof covered with asphalt roofing,358,2010,https://www.funda.nl/en/koop/amsterdam/appartement-42684738-kwintsheulstraat-48,Yes,Balcony present,Yes,,,5 ,Yes,Yes (€ 168.48 per month),,Yes,Yes,,Upstairs apartment (apartment), 168.48  ,,,Parking place,,,
1727,Available in consultation,325000,5909,Shower,Resale,C  ,8,Electricity and running water,Back garden,CH boiler,CH boiler,Insulated walls,,6 ,55,Alongside a quiet road and in residential district,1 bathroom and 1 separate toilet,"2  ,1 ",1,,,Sold under reservation,Resident's parking permits,,212,1957,https://www.funda.nl/en/koop/amsterdam/appartement-88048562-esther-de-boer-van-rijkstraat-184,Yes,,Yes,"Remeha (gas-fired combination boiler from 2011, in ownership)",,Grou ,Yes,Yes (€ 133.00 per month),,Yes,Yes,Built-in,Ground-floor apartment (apartment), 133.00  ,,,,,Located at the south,"37 m² (5 meter deep and 7,3 meter broad)"
1728,Available in consultation,1050000,7778,"Bath, shower and toilet",Resale,D  ,7,,,District heating,District heating,Double glazing and energy efficient window,,5 ,135,"Alongside park, alongside a quiet road, on navigable waterway, in residential district and freestanding location",1 bathroom and 1 separate toilet,"6  ,5 ",5,,,Sold under reservation,"Paid parking, public parking and resident's parking permits",Combination roof covered with asphalt roofing and roof tiles,491,1931,https://www.funda.nl/en/koop/amsterdam/appartement-42693836-rubensstraat-106-2,Yes,Balcony present,Yes,,,2 ,Yes,Yes (€ 468.00 per month),,Yes,Yes,Built-in,Upstairs apartment (apartment), 468.00  ,,,,35 ,,
1729,Available in consultation,375000,8333,Toilet,Resale,C  ,,"Passive ventilation system, sliding door and TV via cable",Back garden,CH boiler,CH boiler,Double glazing and floor insulation,,2 ,45,Alongside a quiet road and in residential district,1 bathroom,"2  ,1 ",1,,Listed building (national monument),Sold under reservation,"Paid parking, public parking and resident's parking permits",Gable roof covered with asphalt roofing and roof tiles,168,1916,https://www.funda.nl/en/koop/amsterdam/appartement-42658891-van-bossestraat-20-huis,Yes,,Yes,"Gas-fired combination boiler from 2020, in ownership",,1 ,Yes,Yes (€ 110.00 per month),,Yes,Yes,,Upstairs apartment (apartment), 110.00  ,,,,,Located at the west accessible via the rear,35 m² (7 meter deep and 5 meter broad)
1730,Available in consultation,275000,4911,Shower,Resale,F 2.84  ,,,,Communal central heating,Central facility,"Roof insulation, partly double glazed and floor insulation",,4 ,56,,1 bathroom and 1 separate toilet,"2  ,1 ",1,,,Sold under reservation,"Paid parking, public parking and resident's parking permits",Flat roof covered with asphalt roofing,165,1968,https://www.funda.nl/en/koop/amsterdam/appartement-42694829-benedenlangs-49,Yes,,Yes,,,1 ,Yes,Yes (€ 100.25 per month),,Yes,Yes,Built-in,Upstairs apartment (apartment), 100.25  ,,,,,,
1731,Available in consultation,2950000,5504,2 baths and 2 toilets,Resale,Not required,,"Skylight, passive ventilation system and TV via cable",,,,"Roof insulation, partly double glazed and insulated walls",,4 ,536,"Alongside a quiet road, alongside water and in center",2 bathrooms and 2 separate toilets,"7  ,5 ",3,,"Protected townscape or village view (permit needed for alterations), listed building (national monument) and monumental building",Available,Paid parking and resident's parking permits,Flat roof covered with asphalt roofing,1963,1898,https://www.funda.nl/en/koop/amsterdam/appartement-88980207-lijnbaansgracht-56-g,Yes,Roof terrace present,Yes,,,4 ,Yes,Yes (€ 665.00 per month),,Yes,Yes,,Penthouse, 665.00  ,Bouwkundige keuring,,,,,
1732,Available in consultation,550000,9821,Toilet,Resale,C  ,,,,CH boiler,CH boiler,Double glazing,,"March 11, 2022",56,In center and in residential district,1 bathroom,"3  ,2 ",1,,With carpets and curtains,Available,,,182,1883,https://www.funda.nl/en/koop/amsterdam/appartement-42638195-albert-cuypstraat-58-1,Yes,,Yes,"Remeha (gas-fired combination boiler from 2019, in ownership)",,1 ,No,Yes (€ 100.00 per month),,Yes,Yes,,Upstairs apartment (apartment), 100.00  ,, 100  ,,,,
