,Annual meeting,Asking price,Asking price per m²,Balcony/roof garden,Bathroom facilities,Building insurance,Building type,CH boiler,Energy label,Exterior space attached to the building,Facilities,Heating,Hot water,Insulation,Listed since,Living area,Located at,Location,Maintenance plan,Number of bath rooms,Number of rooms,Number of stories,Periodic contribution,Registration with KvK,Reserve fund present,Specific,Status,Type apartment,Type of parking facilities,Volume in cubic meters,Year of construction,Back garden,Garden,Garden location,Kind of house,Other space inside the building,Type of garage,External storage space,Provisional energy label,Shed / storage,VVE (Owners Association) contribution,Type of roof,Plot size
1219,Yes,275000,3571,Balcony present,Shower,Yes,Resale property,"Bosch (gas-fired combination boiler from 2005, in ownership)",D  ,3,"Elevator, passive ventilation system and TV via cable",CH boiler,CH boiler,Double glazing,4 ,77,3 ,In residential district,Yes,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 175.00 per month),Yes,Yes,,Under offer,Apartment with shared street entrance (apartment),Public parking,262,1953,,,,,1 ,,3,,Storage box, 175.00  ,,
1220,Yes,299000,3518,,"Bath, shower and toilet",Yes,Resale property,2009,C  ,,,CH boiler,CH boiler,Double glazing,2 ,85,Grou ,,Yes,1 bathroom,3 rooms (2 bedrooms),1,Yes (€ 50.00 per month),Yes,Yes,,Available,Ground-floor apartment (apartment),Paid parking and resident's parking permits,315,1926,"56 m² (8 meter deep and 6,95 meter broad)",Back garden,Located at the southeast,,,,4,,, 50.00  ,,
1221,Yes,489000,4405,,Shower,Yes,Resale property,"Vaillant (gas-fired combination boiler from 2005, in ownership)",E  ,12,Mechanical ventilation and TV via cable,CH boiler,CH boiler,Double glazing,4 ,111,Grou ,"Alongside a quiet road, sheltered location and in residential district",No,1 bathroom and 1 separate toilet,5 rooms (4 bedrooms),1,Yes (€ 80.00 per month),Yes,Yes,,Under offer,Ground-floor apartment (apartment),"Paid parking, public parking and resident's parking permits",433,1918,"41 m² (11,28 meter deep and 3,66 meter broad)",Back garden and front garden,Located at the northwest,,,,3,,Detached wooden storage, 80.00  ,Flat roof covered with asphalt roofing,
1222,Yes,299000,2513,Balcony present,,Yes,Resale property,"Gas-fired combination boiler from 2017, in ownership",F  ,4,,CH boiler,CH boiler,Double glazing,6 ,119,2 ,In residential district,Yes,,5 rooms (3 bedrooms),1,Yes (€ 75.00 per month),Yes,Yes,,Sold under reservation,Upstairs apartment (apartment),,425,1932,,,,,1 ,,,,, 75.00  ,Flat roof,
1223,,498000,3952,,Bath and toilet,,Resale property,Gas-fired combination boiler,,2,Electricity,CH boiler,CH boiler,"Roof insulation, insulated walls and floor insulation",2 ,126,,Sheltered location and in residential district,,1 bathroom and 1 separate toilet,5 rooms (4 bedrooms),3,,,,,Sold under reservation,,Public parking,418,1991,"84 m² (16 meter deep and 5,25 meter broad)",Back garden and front garden,Located at the northwest accessible via the rear,"Single-family home, semi-detached residential property",,,,C ,Detached brick storage,,Flat roof covered with asphalt roofing,152
1225,Yes,295000,3598,,Bath and toilet,Yes,Resale property,"Intergas HRE (gas-fired combination boiler from 2018, in ownership)",B  ,,TV via cable,CH boiler and complete floor heating,CH boiler,"Double glazing, insulated walls and floor insulation",7 ,82,Grou ,"Alongside busy road, in residential district and unobstructed surrounding view",Yes,1 bathroom,5 rooms (3 bedrooms),1,Yes (€ 100.00 per month),Yes,Yes,,Sold under reservation,Ground-floor apartment (apartment),"Paid parking, public parking and resident's parking permits",307,1930,"70 m² (9 meter deep and 7,74 meter broad)",Back garden,Located at the southwest,,,,11,,, 100.00  ,Flat roof covered with asphalt roofing,
1226,Yes,640000,5000,Balcony present,"Bath, shower and toilet",Yes,Resale property,"Remeha (gas-fired from 2015, in ownership)",C  ,10,"Skylight, passive ventilation system and TV via cable",CH boiler,CH boiler,,"March 12, 2022",128,3 ,Alongside a quiet road and in residential district,Yes,1 bathroom and 1 separate toilet,6 rooms (4 bedrooms),2,Yes (€ 125.43 per month),Yes,Yes,,Available,Upstairs apartment (double upstairs apartment),"Paid parking, public parking and resident's parking permits",416,1886,,,,,,,,,, 125.43  ,Combination roof,
1227,Yes,565000,6420,Balcony present,"Bath, shower and toilet",Yes,Resale property,,B  ,11,Electricity,Electric heating,Electrical boiler (rental),Roof insulation and double glazing,3 ,88,7 ,"Alongside a quiet road, in residential district, unobstructed surrounding view and seaview",Yes,2 bathrooms and 1 separate toilet,3 rooms (2 bedrooms),2,Yes (€ 306.60 per month),Yes,Yes,Furnished and with carpets and curtains,Available,Maisonnette (apartment),"Paid parking, parking garage and resident's parking permits",190,1977,,Sun terrace,Located at the southeast,,,Built-in and parking place,20,,Storage box, 306.60  ,Flat roof covered with asphalt roofing,
1228,Yes,395000,4702,,Bath and shower,Yes,Resale property,"Remeha (gas-fired combination boiler from 2020, in ownership)",D  ,11,Mechanical ventilation,CH boiler,CH boiler,Partly double glazed and floor insulation,8 ,84,Grou ,Alongside a quiet road and in residential district,No,1 bathroom and 1 separate toilet,5 rooms (3 bedrooms),1,Yes (€ 100.00 per month),Yes,Yes,Protected townscape or village view (permit needed for alterations),Under offer,Ground-floor apartment (apartment),Public parking and resident's parking permits,300,1914,"69 m² (8 meter deep and 8,6 meter broad)",Back garden,Located at the southwest,,1 ,,,,, 100.00  ,Flat roof covered with asphalt roofing,
1229,Yes,469000,3908,Roof terrace present and balcony present,Shower and toilet,Yes,Resale property,"Intergas (gas-fired combination boiler from 2009, in ownership)",D  ,25,"Outdoor awning, passive ventilation system and TV via cable",CH boiler,CH boiler,Roof insulation and double glazing,2 ,120,2 ,Alongside a quiet road and in residential district,Yes,1 bathroom and 1 separate toilet,6 rooms (4 bedrooms),3,Yes (€ 75.00 per month),Yes,Yes,,Under offer,Upstairs apartment (double upstairs apartment),"Paid parking, public parking and resident's parking permits",390,1934,,,,,,,,,, 75.00  ,Combination roof covered with asphalt roofing and roof tiles,
1230,Yes,1020000,5829,,,Yes,Resale property,"Intergas (gas-fired from 2019, in ownership)",A  ,27,Elevator and mechanical ventilation,CH boiler,CH boiler,Completely insulated,2 ,175,14 ,In residential district and unobstructed surrounding view,Yes,1 separate toilet,4 rooms (3 bedrooms),1,Yes (€ 272.71 per month),Yes,Yes,Protected townscape or village view (permit needed for alterations) and partly furnished with carpets and curtains,Sold or rented under reservation,Upstairs apartment (apartment),Paid parking and resident's parking permits,574,2019,,,,,,Parking place,8,,Storage box, 272.71  ,,
1231,Yes,649000,6009,Balcony present,Toilet,Yes,Resale property,"Gas-fired combination boiler, in ownership",C  ,8,Electricity and running water,CH boiler,CH boiler,"Roof insulation, double glazing, insulated walls, floor insulation and completely insulated","March 7, 2022",108,2 ,Alongside a quiet road and in residential district,Yes,2 bathrooms and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 348.70 per month),Yes,Yes,,Under offer,Apartment with shared street entrance (apartment),Parking garage,342,1996,,,,,,Underground parking,23,,Built-in, 348.70  ,Flat roof covered with asphalt roofing,
1232,,595000,4685,,Toilet,,New property,,,,,,,Double glazing,6+ ,127,,"Alongside park, alongside a quiet road, sheltered location and in residential district",,1 bathroom and 1 separate toilet,4 rooms (2 bedrooms),2,,,,,Under option,,,316,2021,,,,"Single-family home, row house",11 ,Underground parking,,A ,,,,
1233,Yes,260000,3662,Balcony present,,Yes,Resale property,"""Nefit"" NXT CW4 (gas-fired combination boiler from 2019, in ownership)",A  ,6,Mechanical ventilation and TV via cable,CH boiler,CH boiler,Partly double glazed,5 ,71,1 ,In residential district and unobstructed surrounding view,Yes,1 separate toilet,3 rooms (2 bedrooms),2,Yes (€ 106.00 per month),Yes,Yes,,Sold under reservation,Apartment with shared street entrance (apartment),Public parking and resident's parking permits,243,1951,,,,,1 ,,3,,Detached brick storage, 106.00  ,Flat roof covered with asphalt roofing,
1234,,335000,4718,,,,Resale property,,A  ,,Outdoor awning and mechanical ventilation,CH boiler,CH boiler,,5 ,71,,"Alongside park, alongside a quiet road, in center and in residential district",,1 bathroom and 1 separate toilet,4 rooms (2 bedrooms),2,,,,,Under offer,,Parking on gated property,284,2009,4 meter deep and 4 meter broad,Back garden,Located at the southwest accessible via the rear,"Single-family home, row house",8 ,Parking place,,,,,Combination roof covered with asphalt roofing and roof tiles,60
1235,Yes,275000,4435,,,Yes,Resale property,"Remeha Tzerra (gas-fired combination boiler from 2017, in ownership)",E  ,14,Electricity and running water,CH boiler,CH boiler,Double glazing,4 ,62,Grou ,Alongside a quiet road and in residential district,Yes,1 bathroom and 1 separate toilet,4 rooms (2 bedrooms),1,Yes (€ 100.00 per month),Yes,Yes,,Sold under reservation,Ground-floor apartment (apartment),,206,1939,"65 m² (9,19 meter deep and 7,08 meter broad)",Back garden and front garden,Located at the southwest,,,,7,,Detached wooden storage, 100.00  ,,
1236,Yes,475000,3800,,,Yes,Resale property,,A  ,5,Electricity,District heating and complete floor heating,District heating,,2 ,125,2 ,Alongside busy road,Yes,1 bathroom and 1 separate toilet,5 rooms (3 bedrooms),2,Yes (€ 225.65 per month),Yes,Yes,,Available,Maisonnette (apartment),"Paid parking, parking garage and resident's parking permits",484,2020,,,,,,Underground parking and parking place,8,,Built-in, 225.65  ,Flat roof,
1237,,1295000,6411,Balcony present,Bath,,Resale property,,D  ,,"Loft, electricity, heating and running water",,,Completely insulated,8 ,202,,"Alongside a quiet road, in residential district, freestanding location and unobstructed surrounding view",,1 bathroom and 1 separate toilet,8 rooms (6 bedrooms),3,,,,Protected townscape or village view (permit needed for alterations),Available,,Public parking,663,,"125 m² (13 meter deep and 9,6 meter broad)","Back garden, front garden and side garden",Located at the west accessible via the rear,"Desirable residence/villa, corner house",22 ,Attached brick garage,28,,,,,317
1238,No,425000,3829,Balcony present,,Yes,Resale property,"Remeha (gas-fired combination boiler from 2017, in ownership)",E  ,3,Passive ventilation system and TV via cable,CH boiler,CH boiler,,"March 11, 2022",111,,Unobstructed surrounding view,No,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),1,Yes (€ 75.00 per month),Yes,Yes,Protected townscape or village view (permit needed for alterations),Available,Upstairs apartment (apartment with open entrance to street),"Paid parking, public parking and resident's parking permits",398,1913,,,,,,,,,, 75.00  ,Flat roof covered with asphalt roofing,
1239,Yes,225000,3462,Balcony present,Shower,Yes,Resale property,,D 1.76  ,3,TV via cable,CH boiler,CH boiler,Energy efficient window,"March 10, 2022",65,2 ,In residential district,No,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),1,Yes (€ 70.00 per month),Yes,Yes,,Available,Upstairs apartment (apartment with open entrance to street),Public parking and resident's parking permits,283,1931,,,,,1 ,,,,, 70.00  ,,
1240,,475000,4060,,Bath,,Resale property,,A++ 0.45  ,,Electricity,"Complete floor heating, heat recovery unit and heat pump",Geothermal heating and electrical boiler (rental),"Roof insulation, double glazing, insulated walls, floor insulation and completely insulated",4 ,117,,Alongside a quiet road and in residential district,,1 bathroom and 1 separate toilet,5 rooms (3 bedrooms),3,,,,,Under offer,,Parking on gated property and public parking,419,2009,"47 m² (9 meter deep and 5,25 meter broad)",Back garden,Located at the southwest accessible via the rear,"Single-family home, row house",,Parking place,7,,Detached wooden storage,,Gable roof,129
1241,,975000,5417,Roof terrace present,"Bath, shower and toilet",,New property,,,15,Elevator and mechanical ventilation,,,Double glazing,2 ,180,7 ,"Alongside a quiet road, in residential district and freestanding location",,2 bathrooms,3 rooms (2 bedrooms),1,,,,,Under option,Penthouse (apartment),,506,2020,,,,,,Underground parking,,,,,,
1242,,499000,4302,,"Bath, shower and toilet",,Resale property,Intergas (gas-fired combination boiler from 2006),C  ,,,CH boiler,CH boiler,Double glazing,3 ,116,,"Alongside a quiet road, alongside water and in residential district",,1 bathroom and 1 separate toilet,5 rooms (4 bedrooms),3,,,,,Sold under reservation,,Parking on private property,401,1988,"42 m² (8,07 meter deep and 5,16 meter broad)",Back garden and front garden,Located at the east,"Single-family home, row house",,,,,Attached brick storage,,Gable roof covered with roof tiles,141
1243,Yes,600000,3774,Roof terrace present and balcony present,,Yes,Resale property,"Remaha (gas-fired combination boiler from 2020, in ownership)",C 1.06  ,20,"Mechanical ventilation, passive ventilation system and TV via cable",CH boiler,CH boiler,Double glazing,7 ,159,2 ,"On navigable waterway, alongside water and in center",No,1 bathroom and 2 separate toilets,6 rooms (4 bedrooms),3,No,Yes,No,With carpets and curtains,Sold under reservation,Upstairs apartment (apartment),"Paid parking, public parking and resident's parking permits",540,1850,,,,,,,,,,,Gable roof covered with roof tiles,
1244,Yes,289500,3446,,,Yes,Resale property,"Combination boiler, in ownership",,,,CH boiler,CH boiler,,2 ,84,Grou ,,Yes,,4 rooms (3 bedrooms),1,Yes (€ 55.00 per month),Yes,Yes,,Sold under reservation,Ground-floor apartment,,326,1935,,Back garden,,,,,,G ,, 55.00  ,Flat roof,
1245,Yes,335000,4351,,Bath and shower,Yes,Resale property,In ownership,D  ,,,CH boiler,CH boiler,,"March 5, 2022",77,Grou ,,Yes,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),1,Yes (€ 130.00 per month),Yes,Yes,,Available,Ground-floor apartment,Public parking and resident's parking permits,210,1934,,Back garden,,,,,10,,Detached brick storage, 130.00  ,,
1246,Yes,285000,3476,,Bath,Yes,Resale property,,E  ,4,Electricity,Communal central heating,Electrical boiler (rental),Double glazing,"March 4, 2022",82,7 ,,Yes,1 bathroom,4 rooms (3 bedrooms),1,Yes (€ 274.00 per month),Yes,Yes,,Under offer,Galleried apartment (apartment),Public parking,240,,,,,,,,6,,Storage box, 274.00  ,Flat roof,
1247,,425000,4885,Roof terrace present,Shower and toilet,,Resale property,"Nefit (gas-fired combination boiler from 2019, in ownership)",E  ,8,TV via cable,CH boiler,CH boiler,Partly double glazed,5 ,87,,"3 m² (1,9 meter deep and 1,8 meter broad)",,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),2,,,,Protected townscape or village view (permit needed for alterations),Sold under reservation,,Paid parking and resident's parking permits,320,1906,,Location,Located at the southwest,"Single-family home, row house",6 ,,,,,,Gable roof covered with roof tiles,45
1248,,766000,5007,,2 toilets,,New property,,,16,Mechanical ventilation,,,Double glazing,2 ,153,,"Alongside park, alongside a quiet road, sheltered location and in residential district",,2 bathrooms and 1 separate toilet,3 rooms (2 bedrooms),2,,,,,Under option,,,316,2020,"16 m² (0,03 meter deep and 0,06 meter broad)",Back garden,Located at the west,"Single-family home, row house",10 ,Underground parking,,,,,,
1249,,395000,4540,,Shower and toilet,,Resale property,"Remeha (gas-fired combination boiler from 2016, in ownership)",A  ,,Mechanical ventilation and TV via cable,CH boiler,CH boiler,Double glazing and insulated walls,"March 12, 2022",87,,Alongside a quiet road and in residential district,,1 bathroom and 1 separate toilet,5 rooms (3 bedrooms),3,,,,,Available,,Public parking,352,1999,"47 m² (9,51 meter deep and 4,96 meter broad)",Back garden,Located at the southeast accessible via the rear,"Single-family home, row house",14 ,,7,,Detached wooden storage,,Shed roof covered with roof tiles,116
1250,,529000,3623,French balcony present,"Sauna, bath, shower and 2 toilets",,Resale property,,A  ,5,Electricity,District heating and partial floor heating,District heating,Completely insulated,5 ,146,,Alongside a quiet road and in residential district,,2 bathrooms and 1 separate toilet,6 rooms (5 bedrooms),3,,,,With carpets and curtains,Sold under reservation,,Parking on private property and public parking,496,2005,60 m² (12 meter deep and 5 meter broad),Back garden,Located at the southwest accessible via the rear,"Desirable residence/villa, row house (residential property facing inner courtyard)",,Carport,25,,Detached brick storage,,Flat roof covered with asphalt roofing,144
